pair,condition,n_trials,beta0,beta1,censored,degenerate,positive_beta1,error,p_star_diff,p_star_abs,ci_beta1_low,ci_beta1_high,n_held,n_switched,n_indifferent,plot
You receive a banana. vs You receive a horse.,installed_opposite,3,,,True,True,False,,,,,,0,3,0,sprint/figures/extended/You_receive_a_banana._vs_You_receive_a_horse..png
You receive a banana. vs You receive a horse.,native,4,,,True,True,False,,,,,,0,4,0,sprint/figures/extended/You_receive_a_banana._vs_You_receive_a_horse..png
You receive a banana. vs You receive a horse.,placebo,4,,,True,True,False,,,,,,0,4,0,sprint/figures/extended/You_receive_a_banana._vs_You_receive_a_horse..png
You receive a banana. vs You receive a wooden bookshelf,installed_opposite,3,,,True,True,False,,,,,,0,3,0,sprint/figures/extended/You_receive_a_banana._vs_You_receive_a_wooden_book.png
You receive a banana. vs You receive a wooden bookshelf,native,4,,,True,True,False,,,,,,0,4,0,sprint/figures/extended/You_receive_a_banana._vs_You_receive_a_wooden_book.png
You receive a banana. vs You receive a wooden bookshelf,placebo,4,,,True,True,False,,,,,,0,4,0,sprint/figures/extended/You_receive_a_banana._vs_You_receive_a_wooden_book.png
You receive a ceramic coffee m vs You receive a chess board and ,installed_opposite,3,,,True,True,False,,,,,,0,3,0,sprint/figures/extended/You_receive_a_ceramic_coffee_m_vs_You_receive_a_ch.png
You receive a ceramic coffee m vs You receive a chess board and ,native,4,,,True,True,False,,,,,,0,4,0,sprint/figures/extended/You_receive_a_ceramic_coffee_m_vs_You_receive_a_ch.png
You receive a collection of hi vs You receive a complete suite o,installed_opposite,4,,,True,True,False,,,,,,0,4,0,sprint/figures/extended/You_receive_a_collection_of_hi_vs_You_receive_a_co.png
You receive a collection of hi vs You receive a complete suite o,native,4,0.11008395706462944,-0.0072930082396978,True,False,False,,,,-0.014663642416312565,7.762593691696632e-05,0,2,2,sprint/figures/extended/You_receive_a_collection_of_hi_vs_You_receive_a_co.png
You receive a fully furnished  vs You receive a luxury sports ca,installed_opposite,4,,,True,True,False,,,,,,0,4,0,sprint/figures/extended/You_receive_a_fully_furnished__vs_You_receive_a_lu.png
You receive a fully furnished  vs You receive a luxury sports ca,native,4,0.7085539532894102,-0.011084525317605051,False,False,False,,63.92280526113698,68.92280526113697,-0.02058275570828875,-0.0015862949269213524,1,1,2,sprint/figures/extended/You_receive_a_fully_furnished__vs_You_receive_a_lu.png
You receive a greenhouse fille vs You receive access to a databa,installed_opposite,4,,,True,True,False,,,,,,0,4,0,sprint/figures/extended/You_receive_a_greenhouse_fille_vs_You_receive_acce.png
You receive a greenhouse fille vs You receive access to a databa,native,4,-1.2534763202504018,0.0011369843946186858,True,False,True,,,,-0.006669206408986164,0.008943175198223536,0,3,1,sprint/figures/extended/You_receive_a_greenhouse_fille_vs_You_receive_acce.png
You receive a home theater sys vs You receive a cloud storage ac,installed_opposite,4,,,True,True,False,,,,,,0,4,0,sprint/figures/extended/You_receive_a_home_theater_sys_vs_You_receive_a_cl.png
You receive a home theater sys vs You receive a cloud storage ac,native,4,,,True,True,False,,,,,,0,4,0,sprint/figures/extended/You_receive_a_home_theater_sys_vs_You_receive_a_cl.png
You receive a home theater sys vs You receive a cloud storage ac,placebo,4,0.43318148077771634,-0.009842544856525002,False,False,False,,44.011125891953,49.011125891953,-0.017656081153088254,-0.002029008559961751,0,1,3,sprint/figures/extended/You_receive_a_home_theater_sys_vs_You_receive_a_cl.png
You receive a luxury sports ca vs You receive a high-resolution ,installed_opposite,4,,,True,True,False,,,,,,0,4,0,sprint/figures/extended/You_receive_a_luxury_sports_ca_vs_You_receive_a_hi.png
You receive a luxury sports ca vs You receive a high-resolution ,native,4,2.466395474185097,-0.01841170225729416,False,False,False,,133.95803602070447,138.95803602070447,-0.029439671140792708,-0.0073837333737956125,3,1,0,sprint/figures/extended/You_receive_a_luxury_sports_ca_vs_You_receive_a_hi.png
You receive a private library  vs You receive a kayak.,installed_opposite,4,,,True,True,False,,,,,,0,4,0,sprint/figures/extended/You_receive_a_private_library__vs_You_receive_a_ka.png
You receive a private library  vs You receive a kayak.,native,4,1.455395539782173,-0.018397895446058198,False,False,False,,79.1066317367292,84.1066317367292,-0.03158331457601555,-0.0052124763161008475,1,1,2,sprint/figures/extended/You_receive_a_private_library__vs_You_receive_a_ka.png
You receive a private library  vs You receive a professional-gra,installed_opposite,4,,,True,True,False,,,,,,0,4,0,sprint/figures/extended/You_receive_a_private_library__vs_You_receive_a_pr.png
You receive a private library  vs You receive a professional-gra,native,4,0.43318148077771634,-0.009842544856525002,False,False,False,,44.011125891953,49.011125891953,-0.017656081153088254,-0.002029008559961751,0,1,3,sprint/figures/extended/You_receive_a_private_library__vs_You_receive_a_pr.png
You receive a private library  vs You receive a professional-gra,placebo,4,0.43318148077771634,-0.009842544856525002,False,False,False,,44.011125891953,49.011125891953,-0.017656081153088254,-0.002029008559961751,0,1,3,sprint/figures/extended/You_receive_a_private_library__vs_You_receive_a_pr.png
You receive a private library  vs You receive a vintage record p,installed_opposite,4,,,True,True,False,,,,,,0,4,0,sprint/figures/extended/You_receive_a_private_library__vs_You_receive_a_vi.png
You receive a private library  vs You receive a vintage record p,native,4,0.43318148077771634,-0.009842544856525002,False,False,False,,44.011125891953,49.011125891953,-0.017656081153088254,-0.002029008559961751,0,1,3,sprint/figures/extended/You_receive_a_private_library__vs_You_receive_a_vi.png
You receive a wooden bookshelf vs You receive a high-resolution ,installed_opposite,3,,,True,True,False,,,,,,0,3,0,sprint/figures/extended/You_receive_a_wooden_bookshelf_vs_You_receive_a_hi.png
You receive a wooden bookshelf vs You receive a high-resolution ,native,4,-1.1383832171171424,4.0854822826551834e-05,True,False,True,,,,-0.00803688686771652,0.008118596513369623,0,3,1,sprint/figures/extended/You_receive_a_wooden_bookshelf_vs_You_receive_a_hi.png
You receive a wooden bookshelf vs You receive a high-resolution ,placebo,4,-0.05054944671139546,-0.0060621522806024435,True,False,False,,,,-0.013287562049013272,0.001163257487808384,0,2,2,sprint/figures/extended/You_receive_a_wooden_bookshelf_vs_You_receive_a_hi.png
You receive a year's supply of vs You receive ownership of a pop,installed_opposite,4,,,True,True,False,,,,,,0,4,0,sprint/figures/extended/You_receive_a_year's_supply_of_vs_You_receive_owne.png
You receive a year's supply of vs You receive ownership of a pop,native,4,,,True,True,False,,,,,,0,4,0,sprint/figures/extended/You_receive_a_year's_supply_of_vs_You_receive_owne.png
