pair,condition,n_trials,beta0,beta1,censored,degenerate,positive_beta1,error,p_star_diff,p_star_abs,ci_beta1_low,ci_beta1_high,n_held,n_switched,n_indifferent,plot
You receive a banana. vs You receive a horse.,installed_opposite,7,,,True,True,False,,,,,,0,7,0,sprint/figures\You_receive_a_banana._vs_You_receive_a_horse..png
You receive a banana. vs You receive a horse.,native,7,-1.5788197479187613,-0.55955067879828,False,False,False,,-2.8215849032826057,2.1784150967173943,-0.9117989387394587,-0.20730241885710127,1,5,1,sprint/figures\You_receive_a_banana._vs_You_receive_a_horse..png
You receive a banana. vs You receive a horse.,placebo,7,-1.3680130242401531,-0.4522279631499067,False,False,False,,-3.025051822783187,1.9749481772168131,-0.7555463450835304,-0.14890958121628306,0,4,3,sprint/figures\You_receive_a_banana._vs_You_receive_a_horse..png
You receive a banana. vs You receive a wooden bookshelf,installed_opposite,7,,,True,True,False,,,,,,0,7,0,sprint/figures\You_receive_a_banana._vs_You_receive_a_wooden_book.png
You receive a banana. vs You receive a wooden bookshelf,native,7,-3.328119721494964,-0.8831161329558265,False,False,False,,-3.7686093564564476,1.2313906435435524,-1.5863603536108979,-0.17987191230075517,0,5,2,sprint/figures\You_receive_a_banana._vs_You_receive_a_wooden_book.png
You receive a banana. vs You receive a wooden bookshelf,placebo,7,-3.7142923480803636,-0.9617903683530464,False,False,False,,-3.861852302015308,1.1381476979846918,-1.7398377478625306,-0.18374298884356233,0,6,1,sprint/figures\You_receive_a_banana._vs_You_receive_a_wooden_book.png
You receive a ceramic coffee m vs You receive a chess board and ,installed_opposite,7,,,True,True,False,,,,,,0,7,0,sprint/figures\You_receive_a_ceramic_coffee_m_vs_You_receive_a_ch.png
You receive a ceramic coffee m vs You receive a chess board and ,native,7,-1.1033673657171639,-0.3491879390111026,False,False,False,,-3.159809496404404,1.840190503595596,-0.5845410576777016,-0.11383482034450368,0,4,3,sprint/figures\You_receive_a_ceramic_coffee_m_vs_You_receive_a_ch.png
You receive a collection of hi vs You receive a complete suite o,installed_opposite,7,,,True,True,False,,,,,,0,7,0,sprint/figures\You_receive_a_collection_of_hi_vs_You_receive_a_co.png
You receive a collection of hi vs You receive a complete suite o,native,7,-0.46729768104468583,-0.028410387720889368,True,False,False,,,,-0.07863540454119843,0.021814629099419693,0,4,3,sprint/figures\You_receive_a_collection_of_hi_vs_You_receive_a_co.png
You receive a fully furnished  vs You receive a luxury sports ca,installed_opposite,7,,,True,True,False,,,,,,0,7,0,sprint/figures\You_receive_a_fully_furnished__vs_You_receive_a_lu.png
You receive a fully furnished  vs You receive a luxury sports ca,native,7,,,True,True,False,,,,,,6,0,1,sprint/figures\You_receive_a_fully_furnished__vs_You_receive_a_lu.png
You receive a greenhouse fille vs You receive access to a databa,installed_opposite,7,,,True,True,False,,,,,,0,7,0,sprint/figures\You_receive_a_greenhouse_fille_vs_You_receive_acce.png
You receive a greenhouse fille vs You receive access to a databa,native,7,-1.3990470186570296,-0.4357314696427458,False,False,False,,-3.210800954551439,1.789199045448561,-0.7394161721404776,-0.13204676714501395,0,4,3,sprint/figures\You_receive_a_greenhouse_fille_vs_You_receive_acce.png
You receive a home theater sys vs You receive a cloud storage ac,installed_opposite,7,,,True,True,False,,,,,,0,7,0,sprint/figures\You_receive_a_home_theater_sys_vs_You_receive_a_cl.png
You receive a home theater sys vs You receive a cloud storage ac,native,7,-3.7142923480803636,-0.9617903683530464,False,False,False,,-3.861852302015308,1.1381476979846918,-1.7398377478625306,-0.18374298884356233,0,6,1,sprint/figures\You_receive_a_home_theater_sys_vs_You_receive_a_cl.png
You receive a home theater sys vs You receive a cloud storage ac,placebo,7,-0.3108171459488343,-0.025977569243260324,True,False,False,,,,-0.0738204388315764,0.02186530034505575,0,2,5,sprint/figures\You_receive_a_home_theater_sys_vs_You_receive_a_cl.png
You receive a luxury sports ca vs You receive a high-resolution ,installed_opposite,7,,,True,True,False,,,,,,0,7,0,sprint/figures\You_receive_a_luxury_sports_ca_vs_You_receive_a_hi.png
You receive a luxury sports ca vs You receive a high-resolution ,native,7,1.669045841251739,-0.03539675526302452,True,False,False,,,,-0.10474048305745086,0.03394697253140182,7,0,0,sprint/figures\You_receive_a_luxury_sports_ca_vs_You_receive_a_hi.png
You receive a private library  vs You receive a kayak.,installed_opposite,7,,,True,True,False,,,,,,0,7,0,sprint/figures\You_receive_a_private_library__vs_You_receive_a_ka.png
You receive a private library  vs You receive a kayak.,native,7,,,True,True,False,,,,,,7,0,0,sprint/figures\You_receive_a_private_library__vs_You_receive_a_ka.png
You receive a private library  vs You receive a professional-gra,installed_opposite,7,,,True,True,False,,,,,,0,7,0,sprint/figures\You_receive_a_private_library__vs_You_receive_a_pr.png
You receive a private library  vs You receive a professional-gra,native,7,0.6965429341527275,-0.06085455305891098,False,False,False,,11.446028261491474,16.446028261491474,-0.10989913606320692,-0.01180997005461503,3,0,4,sprint/figures\You_receive_a_private_library__vs_You_receive_a_pr.png
You receive a private library  vs You receive a professional-gra,placebo,7,0.457238400441041,-0.05034751377346067,False,False,False,,9.081648053137073,14.081648053137073,-0.09841836377696159,-0.002276663769959754,2,0,5,sprint/figures\You_receive_a_private_library__vs_You_receive_a_pr.png
You receive a private library  vs You receive a vintage record p,installed_opposite,7,,,True,True,False,,,,,,0,7,0,sprint/figures\You_receive_a_private_library__vs_You_receive_a_vi.png
You receive a private library  vs You receive a vintage record p,native,7,1.9011868961059217,-0.15093519749249257,False,False,False,,12.596047361321972,17.596047361321972,-0.22641603560664145,-0.07545435937834369,5,0,2,sprint/figures\You_receive_a_private_library__vs_You_receive_a_vi.png
You receive a wooden bookshelf vs You receive a high-resolution ,installed_opposite,7,,,True,True,False,,,,,,0,7,0,sprint/figures\You_receive_a_wooden_bookshelf_vs_You_receive_a_hi.png
You receive a wooden bookshelf vs You receive a high-resolution ,native,7,-0.7139581363949683,-0.014087271713002125,True,False,False,,,,-0.06447108018825133,0.03629653676224709,0,4,3,sprint/figures\You_receive_a_wooden_bookshelf_vs_You_receive_a_hi.png
You receive a wooden bookshelf vs You receive a high-resolution ,placebo,7,-0.42944215388927365,-0.05615878433290772,False,False,False,,-7.64692752862228,-2.64692752862228,-0.1106032583745801,-0.001714310291235345,0,4,3,sprint/figures\You_receive_a_wooden_bookshelf_vs_You_receive_a_hi.png
You receive a year's supply of vs You receive ownership of a pop,installed_opposite,7,,,True,True,False,,,,,,0,7,0,sprint/figures\You_receive_a_year's_supply_of_vs_You_receive_owne.png
You receive a year's supply of vs You receive ownership of a pop,native,7,-2.450928493655415,-0.5487473288449422,False,False,False,,-4.466406239852452,0.5335937601475482,-1.0609613397327458,-0.036533317957138545,0,6,1,sprint/figures\You_receive_a_year's_supply_of_vs_You_receive_owne.png
